method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,public,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.domain.Category,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,org.mybatis.jpetstore.domain.Category,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,org.mybatis.jpetstore.domain.Category.<init>,public,,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,org.mybatis.jpetstore.domain.Category.setCategoryId,void,java.lang.String,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,org.mybatis.jpetstore.domain.Category.setName,void,java.lang.String,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,org.mybatis.jpetstore.domain.Category.setDescription,void,java.lang.String,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount,org.mybatis.jpetstore.domain.Account,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.domain.Account.getUsername,java.lang.String,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account
